Start : 2843207, 86.767812sec

Sleep Statics
===== Client : 0 - MPSS =====
Time Sleep : 1261095912
Time Awake : 95458592
Sleep : 92.963158% Awake : 7.036842%
Log available 16 ~ 86sec
Client : 0, Discarded : 0
Client : 0, Discarded Time : 0

Time sclk	Time sec	Status	Duration
===== Client : 0 - MPSS =====
00000309284884	00016.108588	S	0.022916
00000309724868	00016.131504	W	0.000360
00000309731784	00016.131864	S	0.000031
00000309732388	00016.131895	W	0.000021
00000309732784	00016.131916	S	0.000110
00000309734904	00016.132026	W	0.000025
00000309735388	00016.132051	S	0.000021
00000309735788	00016.132072	W	0.000016
00000309736104	00016.132089	S	0.000044
00000309736948	00016.132133	W	0.000016
00000309737256	00016.132149	S	0.000068
00000309738556	00016.132216	W	0.000016
00000309738868	00016.132233	S	0.000075
00000309740312	00016.132308	W	0.000009
00000309740484	00016.132317	S	0.000081
00000309742044	00016.132398	W	0.000034
00000309742704	00016.132433	S	0.004884
00000309836484	00016.137317	W	0.005362
00000309939432	00016.142679	S	0.000016
00000309939740	00016.142695	W	0.000036
00000309940432	00016.142731	S	0.016889
00000310264696	00016.159620	W	0.000102
00000310266656	00016.159722	S	0.007595
00000310412488	00016.167317	W	0.059353
00000311552060	00016.226670	S	0.056065
00000312628500	00016.282734	W	0.005802
00000312739900	00016.288536	S	0.000076
00000312741364	00016.288613	W	0.000034
00000312742020	00016.288647	S	0.001770
00000312776000	00016.290417	W	0.000231
00000312780444	00016.290648	S	0.841450
00000328936276	00017.132098	W	0.005522
00000329042300	00017.137620	S	0.000036
00000329043000	00017.137656	W	0.000037
00000329043720	00017.137694	S	0.065710
00000330305356	00017.203404	W	0.000060
00000330306500	00017.203464	S	0.005339
00000330409004	00017.208802	W	0.000037
00000330409720	00017.208840	S	0.230586
00000334836976	00017.439426	W	0.005243
00000334937636	00017.444669	S	0.002652
00000334988548	00017.447320	W	0.369907
00000342090764	00017.817227	S	0.309868
00000348040232	00018.127095	W	0.006628
00000348167492	00018.133724	S	0.003763
00000348239744	00018.137487	W	0.000036
00000348240428	00018.137522	S	0.065970
00000349507052	00018.203492	W	0.000062
00000349508236	00018.203554	S	0.005267
00000349609356	00018.208821	W	0.000037
00000349610064	00018.208858	S	0.355327
00000356432336	00018.564184	W	0.005699
00000356541764	00018.569884	S	0.000038
00000356542492	00018.569921	W	0.000039
00000356543240	00018.569960	S	0.149284
00000359409492	00018.719244	W	0.005200
00000359509336	00018.724445	S	0.002876
00000359564548	00018.727320	W	0.704216
00000373085492	00019.431536	S	0.561042
00000383857504	00019.992578	W	0.005277
00000383958824	00019.997855	S	0.002470
00000384006240	00020.000325	W	0.086940
00000385675484	00020.087265	S	0.016533
00000385992912	00020.103797	W	0.000391
00000386000424	00020.104189	S	0.000139
00000386003092	00020.104328	W	0.000033
00000386003720	00020.104360	S	0.000073
00000386005120	00020.104433	W	0.000016
00000386005424	00020.104449	S	0.000068
00000386006724	00020.104517	W	0.000016
00000386007028	00020.104533	S	0.000075
00000386008476	00020.104608	W	0.000009
00000386008644	00020.104617	S	0.000081
00000386010204	00020.104698	W	0.000041
00000386010984	00020.104739	S	0.027325
00000386535616	00020.132063	W	0.010624
00000386739596	00020.142687	S	0.062198
00000387933788	00020.204885	W	0.000114
00000387935968	00020.204998	S	0.003025
00000387994044	00020.208023	W	0.009441
00000388175308	00020.217464	S	0.556685
00000398863664	00020.774149	W	0.005439
00000398968092	00020.779588	S	0.000036
00000398968780	00020.779624	W	0.000036
00000398969464	00020.779660	S	0.352488
00000405737228	00021.132147	W	0.001745
00000405770732	00021.133892	S	0.003656
00000405840920	00021.137548	W	0.000103
00000405842904	00021.137651	S	0.066756
00000407124620	00021.204407	W	0.000045
00000407125480	00021.204452	S	0.005356
00000407228324	00021.209809	W	0.000043
