MCFG.
Cur Time : 4211.111000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	LINE	STRING
11.644950	mcfg_task.c	285	Modem Config task-START
11.645328	mcfg_map.c	1177	mcfg_map_read_config_map: Unable to open MCFG Image file (2)
11.645537	mcfg_map.c	1103	mcfg_map_read_factory_config_map: factory config doesn't exist
11.645632	mcfg_map.c	1220	mcfg_map_read_config_map: index 0 sig 4D634667
11.645634	mcfg_map.c	1222	mcfg_map_read_config_map: index 0 id_len 20
11.645635	mcfg_map.c	1233	mcfg_map_read_config_map: set active id with len 20
11.645677	mcfg_map.c	1220	mcfg_map_read_config_map: index 1 sig 4D634667
11.645678	mcfg_map.c	1222	mcfg_map_read_config_map: index 1 id_len 20
11.645680	mcfg_map.c	1242	mcfg_map_read_config_map: set pending id with len 20
11.645683	mcfg_map.c	1220	mcfg_map_read_config_map: index 2 sig 4D636667
11.645684	mcfg_map.c	1222	mcfg_map_read_config_map: index 2 id_len 20
11.645685	mcfg_map.c	1251	mcfg_map_read_config_map: add id with len 20
11.645780	mcfg_map.c	1729	mcfg_malloc, mcfg_heap_blocks 1
11.646090	mcfg_efs.c	1222	mcfg_efs_config_present_local: config present in local efs /nvm/mcfg/cfg_01/mcfg_swCC2443C8A73C103BF7D045A94ED731EF/mbn
11.646094	mcfg_map.c	1746	mcfg_map_add_record_in_map
11.646100	mcfg_map.c	1220	mcfg_map_read_config_map: index 3 sig 4D636667
11.646101	mcfg_map.c	1222	mcfg_map_read_config_map: index 3 id_len 20
11.646102	mcfg_map.c	1251	mcfg_map_read_config_map: add id with len 20
11.646108	mcfg_map.c	1729	mcfg_malloc, mcfg_heap_blocks 2
11.646195	mcfg_efs.c	1222	mcfg_efs_config_present_local: config present in local efs /nvm/mcfg/cfg_01/mcfg_sw16EAB15771CD9BAC45E7113AF1D45214/mbn
11.646198	mcfg_map.c	1746	mcfg_map_add_record_in_map
11.646201	mcfg_map.c	1220	mcfg_map_read_config_map: index 4 sig 4D636667
11.646202	mcfg_map.c	1222	mcfg_map_read_config_map: index 4 id_len 20
11.646203	mcfg_map.c	1251	mcfg_map_read_config_map: add id with len 20
11.646206	mcfg_map.c	1729	mcfg_malloc, mcfg_heap_blocks 3
11.646286	mcfg_efs.c	1222	mcfg_efs_config_present_local: config present in local efs /nvm/mcfg/cfg_01/mcfg_sw66D993A8A185F7DD12629D5CAAAD7AF1/mbn
11.646289	mcfg_map.c	1746	mcfg_map_add_record_in_map
11.646292	mcfg_map.c	1220	mcfg_map_read_config_map: index 5 sig 4D636667
11.646293	mcfg_map.c	1222	mcfg_map_read_config_map: index 5 id_len 20
11.646294	mcfg_map.c	1251	mcfg_map_read_config_map: add id with len 20
11.646298	mcfg_map.c	1729	mcfg_malloc, mcfg_heap_blocks 4
