SLBM_LOG.
Cur Time : 4211.436000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	FUNCTION	LINE	STRING
21.816064	ss_log_buffer_mgr.c	slbm_set_compression	533	Mode=0
28.966604	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
28.966609	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
28.966642	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
30.246140	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
59.695541	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
59.695546	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
59.695579	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
64.815103	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
87.800887	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 0
87.800890	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
87.800912	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
87.801167	ss_log_buffer_mgr.c	slbm_save_to_file	825	slbm name = Slbm Internal Mem
87.833057	ss_log_buffer_mgr.c	slbm_save_to_file	998	p=0xc4529ad0, size = 17480
87.853995	ss_log_buffer_mgr.c	slbm_save_to_file	998	p=0xc452dec8, size = 34900
87.869258	ss_log_buffer_mgr.c	slbm_save_to_file	998	p=0xc45322d4, size = 49036
89.218949	ss_log_buffer_mgr.c	slbm_save_to_file	998	p=0xc4535a0c, size = 1048576
91.698820	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
124.979412	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
124.979417	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
124.979452	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
127.538902	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
164.658220	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
164.658225	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
164.658254	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
169.778043	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
205.624041	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
205.624474	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
205.624520	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
212.023885	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
241.458310	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
241.458316	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
241.458351	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
242.738011	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
284.983804	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
284.984013	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
284.984071	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
287.542286	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
324.664063	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
324.664554	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
324.664620	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
329.784060	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
363.058513	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
363.058518	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
363.058549	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
365.618356	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
402.737984	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
402.737988	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
402.738015	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
407.858370	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
439.858997	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
439.859002	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
439.859037	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
444.977986	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
479.538367	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
479.538372	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
479.538410	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
480.817977	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
517.938101	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
517.938106	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
517.938130	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
524.338030	ss_log_buffer_mgr.c	slbm_calculate_data_rate	752	1 kbyte/sec
556.338049	ss_log_buffer_mgr.c	slbm_buf_alloc	354	set SIG compress
556.338053	ss_log_buffer_mgr.c	slbm_store	460	Star : Raw
556.338085	ss_log_buffer_mgr.c	slbm_store	439	Done proccessed blocks = 1
