SSREQCTL.
Cur Time : 4211.545000sec
drop count = 0, drop time = 0.000000sec, high water mark = 0

	TIME(sys)	FILE	FUNCTION	LINE	STRING
11.170150	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash f14edc4 func_name ss_diag_manager_pre_init
11.170158	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 9826e54 func_name ss_cb_init
11.170163	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 9826e54 func_name ss_cb_init
11.170171	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash b367da2 func_name dlpager
11.170172	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash b367da2 func_name dlpager
11.170180	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 7561 func_name npa
11.170645	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 7561 func_name npa
11.170654	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 7923 func_name rlc
11.170667	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 7923 func_name rlc
11.170675	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 9998704 func_name timer_drv_init
11.171051	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 9998704 func_name timer_drv_init
11.171059	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 75839b func_name timer_slave2_task
11.171233	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 6a53802 task_name tmr_slave2
11.171249	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 75839b func_name timer_slave2_task
11.171257	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 85839b func_name timer_slave1_task
11.171401	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 6a53801 task_name tmr_slave1
11.171415	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 85839b func_name timer_slave1_task
11.171423	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash a5839b func_name timer_slave3_task
11.171587	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 6a53803 task_name tmr_slave3
11.171601	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash a5839b func_name timer_slave3_task
11.171609	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash c8118ab func_name timer_task
11.171756	rcinit_rex.c	TASK_ENTRY	180	task begins group 0 task_hash 7b03c2 task_name timer
11.171822	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash c8118ab func_name timer_task
11.171830	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash a136e64 func_name npa_timer_init
11.171835	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash a136e64 func_name npa_timer_init
11.171843	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 6e304b func_name glink
11.171873	rcinit_init_root.c	rcinit_worker	128	function exit group 0 func_hash 6e304b func_name glink
11.171882	rcinit_init_root.c	rcinit_worker	103	function enter group 0 func_hash 69a161d func_name xport_rpm
